Health Region,Agriculture...Forestry.NH3,Agriculture...Forestry.PM10.FIL,Agriculture...Forestry.PM10.PRI,Bulk.Terminals...Plants.NH3,Bulk.Terminals...Plants.PM25.PRI,Bulk.Terminals...Plants.PM.PRI,Coal.PM25.PRI,Coal.PM.CON,Coal.PM.PRI,Coal.SO2,Coal.VOC,Commercial.Institutional.Coal.CO,Commercial.Institutional.Coal.NH3,Commercial.Institutional.Coal.NOX,Commercial.Institutional.Coal.PM10.FIL,Commercial.Institutional.Coal.PM10.PRI,Commercial.Institutional.Coal.PM25.FIL,Commercial.Institutional.Coal.PM25.PRI,Commercial.Institutional.Coal.SO2,Commercial.Institutional.Coal.VOC,Commercial.Institutional.Gas.CO,Commercial.Institutional.Gas.NH3,Commercial.Institutional.Gas.NOX
141,1248.129311,154.5355738,154.5355738,93.07464033,8856.71646,40.73847545,350.27,0.45,38.32889482,0.34589506,46.37062893,0.381293418,1.578661481,0.252804585,1.448832154,0.45096684,0.384087863,2.640997147,0.107884475,1.095866232,0.049927971,0.411622505,0.021512479
142,374.6292851,40.64128518,40.64128518,5.095576129,157.7665255,0.179901544,350.27,0.45,13.65536147,0.060260172,43.07903834,0.09428384,1.188442024,0.053148167,1.148934527,0.139298021,0.568984553,1.695205475,0.04006406,0.133803834,0.01,0.043453847,0.009990153
143,599.7403136,80.60560107,80.60560107,1.784289166,55.29278861,0.060338153,350.27,0.45,7.900212149,0.027911051,15.703386,0.044737168,0.344336175,0.02445415,0.324827817,0.065905425,0.104197548,0.632730503,0.028130093,0.320693261,0.022639925,0.146551665,0.015096927
144,1725.310962,247.9603579,247.9603579,5.850932998,1223.843485,6.592599282,350.27,0.45,7.123198673,0.053033833,8.651351882,0.054086308,0.227429225,0.030523109,0.197205217,0.079655271,0.052773503,0.459106785,0.030493666,0.292893684,0.017130612,0.119587133,0.011557507
145,1087.581267,145.6939076,145.6939076,8.323617211,221.2783646,0.579982149,350.27,0.45,6.220505456,0.029063855,7.387694973,0.04517376,0.208085889,0.024751226,0.18790406,0.065881868,0.043079385,0.421329521,0.025471206,0.275170004,0.015426364,0.124427551,0.011058892
146,1244.672543,158.5960827,158.5960827,60.58498876,1874.14995,2.159219269,350.27,0.45,170.7395512,2.740142065,206.3022838,3.263741414,7.583078179,2.648931778,6.964912997,3.477385339,1.386920112,11.70678719,0.594764012,24.24175085,0.492523984,3.76628124,0.1808951
147,911.5724672,107.6444321,107.6444321,182.5981257,8370.215714,31.56852252,350.27,0.45,15.23016384,0.083505667,18.79249509,0.127819542,0.360460281,0.07211482,0.302845522,0.193182235,0.104125495,0.984699302,0.053022172,2.950292125,0.030874235,0.27602801,0.011901154
148,1.420131525,45.368,3.884,0.161721612,0.032860856,6.86511524,0.032157693,0.828071156,0.043412886,0.097364137,0.033363606,0.087314858,0.052256251,1.713992446,0.015611285,3.076479881,49.80852121,0.453970427,6.391598522,5.499239095,5.30409931,9.817709396,5.964350824
149,3.121721657,45.368,3.884,0.356849892,0.067354996,16.05626801,0.070958168,1.833654334,0.096338661,0.214838612,0.074038045,0.192537997,0.118499952,3.785853392,0.032516193,12.8340498,168.7628629,1.545951487,21.72387333,18.69200527,18.03731351,33.34574607,6.652941015
150,2.930145709,45.368,3.884,0.327266443,0.061771155,12.75532129,0.065075618,1.639076792,0.088209376,0.193965553,0.067850915,0.173607092,0.105756177,3.46539851,0.028022728,7.324460768,136.1819977,1.255585916,17.82959704,15.33350496,14.76912549,26.70822009,8.128329317
151,5.918880734,40.27801465,3.884,0.397885266,0.075100375,15.32660707,0.079117887,1.977947177,0.106809148,0.235375714,0.082084808,0.210651374,0.128566567,4.213027486,0.033625102,43.38465981,196.587467,1.80772789,25.51497691,21.95040526,21.15919996,38.74931422,7.28486206
152,2.432429466,45.368,3.884,0.261445722,0.049347572,10.07093298,0.051987432,1.299685792,0.070183033,0.154662609,0.05393696,0.138416537,0.084479577,2.768330738,0.022094659,4.962724032,96.36153966,0.882677782,12.14187722,10.46032839,10.12578684,19.4289607,5.44514639
153,7.313710743,45.368,3.884,0.68287204,0.128891292,34.42805585,0.135786363,3.394659065,0.183311589,0.403964429,0.140878351,0.36153119,0.220652839,7.230623808,0.057709204,17.61768137,294.4460713,2.678464442,37.85645577,32.55995767,31.38974184,57.72971247,12.66956318
154,21.44038936,21.44038936,3.147612798,12.9,27.08609292,0.153128602,0.822057999,0.127980028,3.299488234,0.015356296,0.388436444,0.009646081,0.347911858,0.007143704,0.0225,14.06918609,0.054432644,119.2458807,1.219460093,463.4254968,16.75468216,14.404044,12.49953636
155,932.9382598,932.9382598,139.9088592,12.9,23.62249501,0.071440178,0.403721675,0.059174848,1.629741975,0.014572676,0.186671946,0.009266988,0.16722137,0.006617522,0.021190198,6.862003411,0.026409559,87.30966145,0.907876582,335.2190966,12.47086708,10.72109609,9.305778443
156,256.9282077,256.9282077,38.50941149,12.9,77.38814561,0.446852537,2.363460369,0.375281375,9.467911824,0.015356296,1.119943397,0.009646081,1.006316933,0.007143704,0.0225,40.35777443,0.15659994,264.9902564,3.113492173,1212.041022,42.76885625,36.76819203,31.90465241
157,32.74996516,32.74996516,4.873194163,12.9,6.227404639,0.03289386,0.190860929,0.027183838,0.782241818,0.015916934,0.089159303,0.009917301,0.077365198,0.007520159,0.023437092,3.247063926,0.012056098,50.14051816,0.638281599,239.2234288,8.776794263,7.545561015,6.545753811
158,943.9648065,943.9648065,141.5840069,12.9,8.300475889,3.396466802,0.218089897,0.031624437,0.885454275,0.015356296,0.101430404,0.009646081,0.09008443,0.007143704,0.0225,3.792146066,0.01218289,48.24062482,0.653772262,249.6546794,8.987697116,7.726920161,6.703037927
159,100.6502789,100.6502789,3.567324802,33.46147525,0.100795027,1.233138661,0.033598342,10.94266204,0.147544192,0.033598342,0.147544192,0.023598342,0.008074335,0.040397513,0.413180106,2.482679887,0.177980436,17.48384078,1.016956055,0.02539079,0.756437005,0.139264372,33.97927669
160,122.4574394,122.4574394,6.809716346,1002.392837,0.097129383,1.223892739,0.033556264,10.87195107,0.165314019,0.103306936,0.161414433,0.09638293,0.012989611,0.056002616,0.418971702,1.672567286,0.185372295,7.845530923,1.086510786,0.035996159,0.829048228,0.214758819,23.57480807
161,48.15444523,48.15444523,0.889107869,104.1622802,0.060694307,0.789232137,0.035185827,9.901887257,0.100470631,0.340470231,0.100470631,0.334848093,0.006401407,0.043032814,0.754142251,1.894927275,0.292826275,12.89599871,0.913389191,0.017582959,0.714162858,0.054291933,26.57047769
